iter	Passed	Remaining
0	59	59612
1	59	29927
2	60	20033
3	60	15136
4	61	12173
5	61	10198
6	61	8781
7	62	7712
8	62	6901
9	63	6247
10	63	5698
11	63	5244
12	64	4861
13	64	4532
14	64	4249
15	65	4008
16	65	3787
17	65	3590
18	66	3414
19	66	3253
20	66	3109
21	67	2980
22	67	2867
23	67	2760
24	68	2657
25	68	2563
26	68	2476
27	69	2399
28	69	2324
29	69	2255
30	70	2191
31	70	2133
32	70	2075
33	71	2019
34	71	1968
35	71	1919
36	71	1872
37	72	1828
38	72	1787
39	72	1750
40	73	1716
41	73	1681
42	74	1648
43	74	1616
44	74	1585
45	75	1556
46	75	1527
47	75	1499
48	75	1473
49	76	1448
50	76	1425
51	76	1401
52	77	1378
53	77	1356
54	77	1335
55	78	1315
56	78	1295
57	78	1276
58	78	1257
59	79	1239
60	79	1222
61	79	1207
62	80	1191
63	80	1176
64	80	1161
65	81	1147
66	81	1133
67	81	1118
68	81	1105
69	82	1094
70	82	1083
71	83	1072
72	83	1061
73	83	1050
74	84	1039
75	84	1028
76	85	1019
77	85	1011
78	85	1001
79	86	992
80	86	982
81	86	972
82	87	962
83	87	953
84	87	943
85	87	934
86	88	924
87	88	916
88	88	907
89	88	899
90	89	891
91	89	884
92	90	877
93	90	870
94	90	863
95	90	855
96	91	849
97	91	842
98	91	835
99	92	828
100	92	822
101	92	814
102	92	808
103	93	802
104	93	795
105	93	790
106	94	785
107	94	779
108	94	774
109	95	768
110	95	763
111	95	758
112	95	753
113	96	748
114	96	743
115	96	737
116	97	732
117	97	728
118	97	723
119	98	718
120	98	714
121	98	710
122	98	705
123	99	701
124	99	697
125	99	693
126	100	689
127	100	683
128	100	679
129	100	675
130	101	671
131	101	668
132	102	665
133	102	662
134	102	659
135	103	656
136	103	652
137	103	649
138	104	645
139	104	642
140	104	638
141	105	635
142	105	632
143	105	628
144	106	625
145	106	622
146	106	619
147	107	615
148	107	613
149	107	610
150	108	607
151	108	604
152	108	602
153	109	599
154	109	596
155	109	593
156	109	590
157	110	587
158	110	584
159	110	582
160	111	580
161	111	578
162	112	575
163	112	573
164	112	571
165	113	569
166	113	566
167	114	564
168	114	562
169	114	559
170	114	557
171	115	555
172	115	553
173	115	550
174	116	548
175	116	546
176	117	544
177	117	543
178	117	540
179	118	538
180	118	535
181	118	533
182	118	530
183	119	529
184	119	526
185	119	524
186	120	522
187	120	520
188	120	517
189	121	515
190	121	513
191	121	511
192	121	509
193	122	507
194	122	505
195	122	503
196	123	502
197	123	500
198	123	498
199	124	497
200	124	495
201	124	493
202	125	491
203	125	489
204	125	487
205	126	486
206	126	484
207	126	482
208	127	480
209	127	479
210	127	477
211	127	475
212	128	473
213	128	472
214	128	470
215	129	468
216	129	466
217	129	465
218	130	463
219	130	462
220	130	460
221	131	459
222	131	457
223	131	456
224	131	454
225	132	453
226	132	451
227	132	450
228	133	448
229	133	447
230	133	445
231	134	444
232	134	442
233	134	441
234	135	439
235	135	438
236	135	436
237	136	435
238	136	434
239	136	433
240	137	431
241	137	430
242	137	429
243	138	428
244	138	426
245	138	425
246	139	424
247	139	422
248	139	421
249	140	420
250	140	418
251	140	417
252	140	416
253	141	415
254	141	413
255	141	412
256	142	411
257	142	409
258	142	408
259	143	407
260	143	405
261	143	404
262	143	403
263	144	402
264	144	400
265	144	400
266	145	398
267	145	397
268	145	396
269	146	395
